Designator,Mid X,Mid Y,Rotation,Layer
J1,110.31,-103.55,0.0,top
J2,110.299216,-53.422874,0.0,top
Q1,33.4775,-81.205,0.0,top
Q10,93.980062,-117.24,90.0,top
Q11,99.500062,-117.27,90.0,top
Q12,83.000062,-110.045,90.0,top
Q13,88.475062,-110.17,90.0,top
Q14,93.980062,-110.09,90.0,top
Q15,99.390062,-110.12,90.0,top
Q16,62.32,-81.355,0.0,top
Q17,53.345,-86.75,180.0,top
Q18,62.305,-86.73,180.0,top
Q19,74.0825,-81.38,0.0,top
Q2,33.4525,-86.555,180.0,top
Q20,82.965,-81.48,0.0,top
Q21,74.135,-86.84,180.0,top
Q22,82.96,-86.955,180.0,top
Q23,93.64,-81.62,0.0,top
Q24,102.56,-81.595,0.0,top
Q25,93.685,-86.94,180.0,top
Q26,102.535,-86.975,180.0,top
Q27,33.445,-94.335,0.0,top
Q28,42.4,-94.355,0.0,top
Q29,33.41,-99.64,180.0,top
Q3,42.1275,-81.275,0.0,top
Q30,42.32,-99.715,180.0,top
Q31,53.388928,-94.425,0.0,top
Q32,62.22,-94.505,0.0,top
Q33,53.345,-99.825,180.0,top
Q34,62.24,-99.865,180.0,top
Q35,74.0775,-94.06,0.0,top
Q36,82.8225,-94.155,0.0,top
Q37,74.0275,-99.43,180.0,top
Q38,82.7725,-99.575,180.0,top
Q39,93.6825,-94.01,0.0,top
Q4,42.1275,-86.595,180.0,top
Q40,102.4475,-94.13,0.0,top
Q41,93.6475,-99.37,180.0,top
Q42,102.4225,-99.5,180.0,top
Q43,60.109216,-35.027874,0.0,top
Q44,60.164216,-53.257874,0.0,top
Q45,60.104216,-40.377874,180.0,top
Q46,60.189216,-58.552874,180.0,top
Q47,65.574216,-35.582874,180.0,top
Q48,65.659216,-53.782874,180.0,top
Q49,99.449216,-70.527874,0.0,top
Q5,76.935062,-117.25,90.0,top
Q50,72.904216,-35.007874,0.0,top
Q51,72.914216,-53.217874,0.0,top
Q52,72.879216,-40.327874,180.0,top
Q53,72.869216,-58.592874,180.0,top
Q54,78.419216,-35.552874,180.0,top
Q55,78.464216,-53.772874,180.0,top
Q56,85.529216,-35.032874,0.0,top
Q57,85.604216,-53.192874,0.0,top
Q58,85.579216,-40.377874,180.0,top
Q59,85.584216,-58.517874,180.0,top
Q6,76.850062,-109.985,90.0,top
Q60,91.069216,-35.577874,180.0,top
Q61,91.074216,-53.742874,180.0,top
Q62,98.179216,-35.007874,0.0,top
Q63,98.264216,-53.102874,0.0,top
Q64,98.179216,-40.402874,180.0,top
Q65,98.239216,-58.497874,180.0,top
Q66,103.744216,-35.577874,180.0,top
Q67,103.759216,-53.652874,180.0,top
Q7,53.42,-81.335,0.0,top
Q8,82.975062,-117.28,90.0,top
Q9,88.455062,-117.29,90.0,top
R1,30.865,-80.19,180.0,bottom
R10,79.360062,-112.2175,90.0,bottom
R100,99.7975,-100.53,0.0,bottom
R101,57.649216,-34.042874,180.0,bottom
R102,57.624216,-52.202874,180.0,bottom
R103,58.611716,-37.542874,180.0,bottom
R104,58.811716,-55.902874,180.0,bottom
R105,57.536716,-41.417874,180.0,bottom
R106,57.596716,-59.767874,180.0,bottom
R107,62.061716,-37.517874,180.0,bottom
R108,62.909216,-55.917874,180.0,bottom
R109,96.856716,-69.287874,180.0,bottom
R11,44.4775,-83.615,0.0,bottom
R110,97.244216,-72.937874,180.0,bottom
R111,70.349216,-33.892874,180.0,bottom
R112,70.326716,-52.282874,180.0,bottom
R113,71.186716,-37.617874,180.0,bottom
R114,71.239216,-55.932874,180.0,bottom
R115,70.274216,-41.367874,180.0,bottom
R116,70.314216,-59.632874,180.0,bottom
R117,74.861716,-37.517874,180.0,bottom
R118,75.651716,-55.982874,180.0,bottom
R119,83.061716,-33.942874,180.0,bottom
R12,44.7775,-87.64,0.0,bottom
R120,82.966716,-52.032874,180.0,bottom
R121,83.886716,-37.717874,180.0,bottom
R122,83.829216,-55.932874,180.0,bottom
R123,83.011716,-41.342874,180.0,bottom
R124,82.966716,-59.582874,180.0,bottom
R125,87.924216,-37.717874,180.0,bottom
R126,88.354216,-55.882874,180.0,bottom
R127,95.736716,-33.942874,180.0,bottom
R128,95.671716,-51.987874,180.0,bottom
R129,96.336716,-37.767874,180.0,bottom
R13,81.890062,-119.8825,90.0,bottom
R130,96.571716,-55.887874,180.0,bottom
R131,95.624216,-41.392874,180.0,bottom
R132,95.584216,-59.587874,180.0,bottom
R133,99.986716,-37.742874,180.0,bottom
R134,101.059216,-55.887874,180.0,bottom
R14,85.290062,-119.52,90.0,bottom
R15,87.370062,-119.8525,90.0,bottom
R16,90.845062,-119.4525,90.0,bottom
R17,92.920062,-119.79,90.0,bottom
R18,98.465062,-119.8225,90.0,bottom
R19,96.320062,-119.4275,90.0,bottom
R2,31.84,-83.79,180.0,bottom
R20,101.815062,-119.46,90.0,bottom
R21,81.915062,-112.6325,90.0,bottom
R22,87.365062,-112.7975,90.0,bottom
R23,92.895062,-112.6425,90.0,bottom
R24,98.330062,-112.6575,90.0,bottom
R25,85.240062,-112.2575,90.0,bottom
R26,90.840062,-112.4975,90.0,bottom
R27,96.345062,-112.3175,90.0,bottom
R28,101.805062,-112.3325,90.0,bottom
R29,50.8775,-80.24,180.0,bottom
R3,36.065,-87.665,0.0,bottom
R30,51.69,-83.965,180.0,bottom
R31,65.0025,-84.015,0.0,bottom
R32,65.165,-87.965,0.0,bottom
R33,56.015,-80.265,180.0,bottom
R34,50.765,-87.74,0.0,bottom
R35,55.3275,-83.99,0.0,bottom
R36,56.0525,-87.89,0.0,bottom
R37,71.54,-80.38,180.0,bottom
R38,72.465,-84.03,180.0,bottom
R39,85.5725,-84.065,0.0,bottom
R4,35.3025,-83.815,0.0,bottom
R40,85.8975,-88.14,0.0,bottom
R41,76.6775,-80.305,180.0,bottom
R42,71.565,-87.93,0.0,bottom
R43,76.015,-84.03,0.0,bottom
R44,76.7775,-87.93,0.0,bottom
R45,91.085,-80.55,180.0,bottom
R46,92.11,-84.325,180.0,bottom
R47,104.8725,-84.2,0.0,bottom
R48,105.2475,-88.125,0.0,bottom
R49,96.2225,-80.6,180.0,bottom
R5,36.0275,-80.215,180.0,bottom
R50,91.11,-87.975,0.0,bottom
R51,95.685,-84.35,0.0,bottom
R52,96.3975,-88.05,0.0,bottom
R53,30.84,-93.28,180.0,bottom
R54,31.9275,-97.03,180.0,bottom
R55,44.8275,-96.98,0.0,bottom
R56,45.0025,-100.805,0.0,bottom
R57,36.0525,-93.23,180.0,bottom
R58,30.8275,-100.63,0.0,bottom
R59,35.415,-97.055,0.0,bottom
R6,30.865,-87.59,0.0,bottom
R60,36.04,-100.73,0.0,bottom
R61,50.825,-93.39,180.0,bottom
R62,51.6375,-97.165,180.0,bottom
R63,64.6025,-97.04,0.0,bottom
R64,64.9275,-101.065,0.0,bottom
R65,55.925,-93.39,180.0,bottom
R66,50.75,-100.865,0.0,bottom
R67,55.275,-97.165,0.0,bottom
R68,55.9375,-100.84,0.0,bottom
R69,71.435,-93.07,180.0,bottom
R7,75.840062,-119.8,90.0,bottom
R70,72.4475,-96.595,180.0,bottom
R71,85.235,-96.77,0.0,bottom
R72,85.41,-100.62,0.0,bottom
R73,76.6975,-93.02,180.0,bottom
R74,71.46,-100.445,0.0,bottom
R75,75.9225,-96.595,0.0,bottom
R76,76.66,-100.545,0.0,bottom
R77,91.1475,-92.995,180.0,bottom
R78,92.0225,-96.67,180.0,bottom
R79,104.8225,-96.78,0.0,bottom
R8,79.115062,-119.5625,90.0,bottom
R80,105.1475,-100.605,0.0,bottom
R81,96.1975,-93.02,180.0,bottom
R82,91.0725,-100.37,0.0,bottom
R83,95.4725,-96.67,0.0,bottom
R84,96.2725,-100.445,0.0,bottom
R85,39.5775,-87.64,0.0,bottom
R86,39.585,-80.235,180.0,bottom
R87,59.715,-87.765,0.0,bottom
R88,59.7025,-80.315,180.0,bottom
R89,80.36,-80.415,180.0,bottom
R9,75.785062,-112.6675,90.0,bottom
R90,80.435,-87.965,0.0,bottom
R91,100.0225,-80.575,180.0,bottom
R92,99.91,-87.975,0.0,bottom
R93,39.8275,-93.28,180.0,bottom
R94,39.7525,-100.73,0.0,bottom
R95,59.6275,-93.39,180.0,bottom
R96,59.54,-100.89,0.0,bottom
R97,80.335,-93.12,180.0,bottom
R98,80.185,-100.595,0.0,bottom
R99,99.7975,-93.055,180.0,bottom
