Designator,Mid X,Mid Y,Rotation,Layer
J1,159.6,-44.12,0.0,top
Q1,107.87,-29.275,0.0,top
Q10,145.77,-59.765,0.0,top
Q11,145.715,-65.225,0.0,top
Q12,152.825,-48.975,0.0,top
Q13,153.105,-54.59,0.0,top
Q14,153.07,-59.89,0.0,top
Q15,153.055,-65.24,0.0,top
Q16,116.945,-39.265,0.0,top
Q17,116.97,-34.635,180.0,top
Q18,116.955,-44.685,180.0,top
Q19,125.975,-29.23,0.0,top
Q2,107.855,-34.685,180.0,top
Q20,125.895,-39.265,0.0,top
Q21,125.89,-34.725,180.0,top
Q22,125.95,-44.84,180.0,top
Q23,135.15,-29.28,0.0,top
Q24,135.13,-39.165,0.0,top
Q25,135.15,-34.61,180.0,top
Q26,135.085,-44.465,180.0,top
Q27,107.765,-51.885,0.0,top
Q28,107.88,-61.89,0.0,top
Q29,107.855,-57.235,180.0,top
Q3,107.85,-39.425,0.0,top
Q30,107.835,-67.165,180.0,top
Q31,116.855,-51.815,0.0,top
Q32,116.85,-61.73,0.0,top
Q33,116.895,-57.215,180.0,top
Q34,116.86,-67.0,180.0,top
Q35,125.98,-51.89,0.0,top
Q36,125.9775,-61.795,0.0,top
Q37,125.975,-57.215,180.0,top
Q38,125.9575,-67.145,180.0,top
Q39,134.965,-51.665,0.0,top
Q4,107.785,-44.88,180.0,top
Q40,134.915,-61.77,0.0,top
Q41,134.955,-57.015,180.0,top
Q42,134.925,-67.165,180.0,top
Q5,145.77,-43.09,0.0,top
Q6,152.82,-43.09,0.0,top
Q7,116.945,-29.29,0.0,top
Q8,145.895,-48.89,0.0,top
Q9,145.85,-54.4,0.0,top
R1,105.35,-28.25,180.0,bottom
R10,150.265,-45.475,180.0,bottom
R100,132.445,-68.105,0.0,bottom
R11,105.58,-41.62,180.0,bottom
R12,110.0675,-42.595,0.0,bottom
R13,143.3125,-47.775,180.0,bottom
R14,143.575,-51.325,180.0,bottom
R15,143.255,-53.21,180.0,bottom
R16,143.4675,-56.685,180.0,bottom
R17,143.1375,-58.65,180.0,bottom
R18,143.12,-64.085,180.0,bottom
R19,143.2625,-62.05,180.0,bottom
R2,106.325,-31.975,180.0,bottom
R20,143.1075,-67.585,180.0,bottom
R21,150.1625,-47.875,180.0,bottom
R22,150.5125,-53.575,180.0,bottom
R23,150.625,-58.9,180.0,bottom
R24,150.5625,-64.225,180.0,bottom
R25,150.3875,-51.325,180.0,bottom
R26,150.7125,-56.875,180.0,bottom
R27,150.6875,-62.2,180.0,bottom
R28,150.7875,-67.525,180.0,bottom
R29,114.4125,-28.275,180.0,bottom
R3,110.4,-35.625,0.0,bottom
R30,115.275,-31.925,180.0,bottom
R31,114.5875,-41.525,180.0,bottom
R32,119.1375,-42.35,0.0,bottom
R33,119.5,-28.325,180.0,bottom
R34,114.375,-35.65,0.0,bottom
R35,118.6875,-31.925,0.0,bottom
R36,119.625,-35.675,0.0,bottom
R37,123.4575,-28.24,180.0,bottom
R38,124.22,-32.015,180.0,bottom
R39,123.5875,-41.525,180.0,bottom
