Designator,Mid X,Mid Y,Rotation,Layer
J1,169.6,-53.805,0.0,top
Q1,161.705,-70.065,0.0,top
Q10,148.23,-39.835,180.0,top
Q11,157.25,-39.4,0.0,top
Q12,157.3,-44.745,180.0,top
Q13,162.75,-39.97,180.0,top
Q14,113.08,-54.125,0.0,top
Q15,113.055,-59.485,180.0,top
Q16,118.575,-54.69,180.0,top
Q17,127.83,-53.875,0.0,top
Q18,127.805,-59.21,180.0,top
Q19,133.295,-54.485,180.0,top
Q2,112.905,-39.11,0.0,top
Q20,142.305,-53.84,0.0,top
Q21,142.33,-59.21,180.0,top
Q22,147.8,-54.415,180.0,top
Q23,156.975,-54.21,0.0,top
Q24,156.95,-59.505,180.0,top
Q25,162.5,-54.74,180.0,top
Q3,118.42,-39.685,180.0,top
Q4,112.905,-44.46,180.0,top
Q5,127.98,-39.265,0.0,top
Q6,127.975,-44.615,180.0,top
Q7,133.5,-39.815,180.0,top
Q8,142.68,-39.3,0.0,top
Q9,142.655,-44.585,180.0,top
R1,159.2,-69.05,180.0,bottom
R10,130.2125,-41.6,180.0,bottom
R11,140.15,-38.275,180.0,bottom
R12,141.0,-41.775,180.0,bottom
R13,140.0125,-45.6,180.0,bottom
R14,145.4625,-41.775,180.0,bottom
R15,154.745,-38.285,180.0,bottom
R16,155.6075,-42.085,180.0,bottom
R17,154.645,-45.835,180.0,bottom
R18,159.8575,-42.06,180.0,bottom
R19,110.425,-53.025,180.0,bottom
R2,159.375,-72.45,180.0,bottom
R20,111.5,-56.675,180.0,bottom
R21,110.4125,-60.5,180.0,bottom
R22,115.725,-56.8,180.0,bottom
R23,125.3375,-52.875,180.0,bottom
R24,126.1,-56.625,180.0,bottom
R25,125.1125,-60.325,180.0,bottom
R26,130.6,-56.475,180.0,bottom
R27,139.7125,-52.85,180.0,bottom
R28,140.675,-56.45,180.0,bottom
R29,139.7,-60.175,180.0,bottom
R3,110.325,-38.05,180.0,bottom
R30,145.0,-56.525,180.0,bottom
R31,154.4875,-53.14,180.0,bottom
R32,155.25,-56.915,180.0,bottom
R33,154.2125,-60.59,180.0,bottom
R34,159.825,-56.79,180.0,bottom
R4,110.5,-45.375,180.0,bottom
R5,111.1375,-41.45,180.0,bottom
R6,114.6875,-41.45,180.0,bottom
R7,125.4625,-38.25,180.0,bottom
R8,126.4625,-41.6,180.0,bottom
R9,125.4125,-45.625,180.0,bottom
