Designator,Mid X,Mid Y,Rotation,Layer
J1_2,169.590818,-104.196319,0.0,top
J1,169.6,-53.737225,0.0,top
Q1_2,161.695818,-120.456319,0.0,top
Q1,161.705,-69.997225,0.0,top
Q10_2,148.220818,-90.226319,180.0,top
Q10,148.23,-39.767225,180.0,top
Q11_2,157.240818,-89.791319,0.0,top
Q11,157.25,-39.332225,0.0,top
Q12_2,157.290818,-95.136319,180.0,top
Q12,157.3,-44.677225,180.0,top
Q13_2,162.740818,-90.361319,180.0,top
Q13,162.75,-39.902225,180.0,top
Q14_2,113.070818,-104.516319,0.0,top
Q14,113.08,-54.057225,0.0,top
Q15_2,113.045818,-109.876319,180.0,top
Q15,113.055,-59.417225,180.0,top
Q16_2,118.565818,-105.081319,180.0,top
Q16,118.575,-54.622225,180.0,top
Q17_2,127.820818,-104.266319,0.0,top
Q17,127.83,-53.807225,0.0,top
Q18_2,127.795818,-109.601319,180.0,top
Q18,127.805,-59.142225,180.0,top
Q19_2,133.285818,-104.876319,180.0,top
Q19,133.295,-54.417225,180.0,top
Q2_2,112.895818,-89.501319,0.0,top
Q2,112.905,-39.042225,0.0,top
Q20_2,142.295818,-104.231319,0.0,top
Q20,142.305,-53.772225,0.0,top
Q21_2,142.320818,-109.601319,180.0,top
Q21,142.33,-59.142225,180.0,top
Q22_2,147.790818,-104.806319,180.0,top
Q22,147.8,-54.347225,180.0,top
Q23_2,156.965818,-104.601319,0.0,top
Q23,156.975,-54.142225,0.0,top
Q24_2,156.940818,-109.896319,180.0,top
Q24,156.95,-59.437225,180.0,top
Q25_2,162.490818,-105.131319,180.0,top
Q25,162.5,-54.672225,180.0,top
Q3_2,118.410818,-90.076319,180.0,top
Q3,118.42,-39.617225,180.0,top
Q4_2,112.895818,-94.851319,180.0,top
Q4,112.905,-44.392225,180.0,top
Q5_2,127.970818,-89.656319,0.0,top
Q5,127.98,-39.197225,0.0,top
Q6_2,127.965818,-95.006319,180.0,top
Q6,127.975,-44.547225,180.0,top
Q7_2,133.490818,-90.206319,180.0,top
Q7,133.5,-39.747225,180.0,top
Q8_2,142.670818,-89.691319,0.0,top
Q8,142.68,-39.232225,0.0,top
Q9_2,142.645818,-94.976319,180.0,top
Q9,142.655,-44.517225,180.0,top
R1_2,159.190818,-119.441319,180.0,bottom
R1,159.2,-68.982225,180.0,bottom
R10_2,130.203318,-91.991319,180.0,bottom
R10,130.2125,-41.532225,180.0,bottom
R11_2,140.140818,-88.666319,180.0,bottom
R11,140.15,-38.207225,180.0,bottom
R12_2,140.990818,-92.166319,180.0,bottom
R12,141.0,-41.707225,180.0,bottom
R13_2,140.003318,-95.991319,180.0,bottom
R13,140.0125,-45.532225,180.0,bottom
R14_2,145.453318,-92.166319,180.0,bottom
R14,145.4625,-41.707225,180.0,bottom
R15_2,154.735818,-88.676319,180.0,bottom
R15,154.745,-38.217225,180.0,bottom
R16_2,155.598318,-92.476319,180.0,bottom
R16,155.6075,-42.017225,180.0,bottom
R17_2,154.635818,-96.226319,180.0,bottom
R17,154.645,-45.767225,180.0,bottom
R18_2,159.848318,-92.451319,180.0,bottom
R18,159.8575,-41.992225,180.0,bottom
R19_2,110.415818,-103.416319,180.0,bottom
R19,110.425,-52.957225,180.0,bottom
R2_2,159.365818,-122.841319,180.0,bottom
R2,159.375,-72.382225,180.0,bottom
R20_2,111.490818,-107.066319,180.0,bottom
R20,111.5,-56.607225,180.0,bottom
R21_2,110.403318,-110.891319,180.0,bottom
R21,110.4125,-60.432225,180.0,bottom
R22_2,115.715818,-107.191319,180.0,bottom
R22,115.725,-56.732225,180.0,bottom
R23_2,125.328318,-103.266319,180.0,bottom
R23,125.3375,-52.807225,180.0,bottom
R24_2,126.090818,-107.016319,180.0,bottom
R24,126.1,-56.557225,180.0,bottom
R25_2,125.103318,-110.716319,180.0,bottom
R25,125.1125,-60.257225,180.0,bottom
R26_2,130.590818,-106.866319,180.0,bottom
R26,130.6,-56.407225,180.0,bottom
R27_2,139.703318,-103.241319,180.0,bottom
R27,139.7125,-52.782225,180.0,bottom
R28_2,140.665818,-106.841319,180.0,bottom
R28,140.675,-56.382225,180.0,bottom
R29_2,139.690818,-110.566319,180.0,bottom
R29,139.7,-60.107225,180.0,bottom
R3_2,110.315818,-88.441319,180.0,bottom
R3,110.325,-37.982225,180.0,bottom
R30_2,144.990818,-106.916319,180.0,bottom
R30,145.0,-56.457225,180.0,bottom
R31_2,154.478318,-103.531319,180.0,bottom
R31,154.4875,-53.072225,180.0,bottom
R32_2,155.240818,-107.306319,180.0,bottom
R32,155.25,-56.847225,180.0,bottom
R33_2,154.203318,-110.981319,180.0,bottom
R33,154.2125,-60.522225,180.0,bottom
R34_2,159.815818,-107.181319,180.0,bottom
R34,159.825,-56.722225,180.0,bottom
R4_2,110.490818,-95.766319,180.0,bottom
R4,110.5,-45.307225,180.0,bottom
R5_2,111.128318,-91.841319,180.0,bottom
R5,111.1375,-41.382225,180.0,bottom
R6_2,114.678318,-91.841319,180.0,bottom
R6,114.6875,-41.382225,180.0,bottom
R7_2,125.453318,-88.641319,180.0,bottom
R7,125.4625,-38.182225,180.0,bottom
R8_2,126.453318,-91.991319,180.0,bottom
R8,126.4625,-41.532225,180.0,bottom
R9_2,125.403318,-96.016319,180.0,bottom
R9,125.4125,-45.557225,180.0,bottom
